k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,4.000000004205355,0.2577980728923973,16.69282683775054,-97259.0706971201,-97504.26569348967,0.4382111782133852,0.4118062104157888,0.04153267082296051,0.023723301628307,0.04183157543902413,0.02402773984448974
3,3.0000002015200673,0.38273710533602445,18.919917177826154,-110111.05314413478,-110481.83582157169,0.5166840552958408,0.5166840552958408,0.12601278111096792,0.12601278111096792,0.12655794999933756,0.12655794999933756
4,2.559791282251758,0.38019902063366195,19.04182749005247,-110656.15314834249,-111152.52350684673,0.5282080348842653,0.5268634256937059,0.12612013104297892,0.13063004540336867,0.1461383595126329,0.1543869667286714
5,2.1509451652668954,0.4035920055272386,19.09678213308837,-110809.83031046305,-111431.78835003462,0.5324899848183892,0.548106434184248,0.12899005571033717,0.13758427738119283,0.15520214159739196,0.18702264029910692
6,1.7970688730411293,0.412646278065082,19.324619424975133,-111974.17943776572,-112721.72515840463,0.5328864565415935,0.5488014246715642,0.1316461880291315,0.13476299217674606,0.1785092636691297,0.2006414737448015
7,1.6330925278437585,0.3845046956768502,19.52703822259704,-112989.93204759604,-113863.06544930229,0.5515296114646736,0.5477245762474994,0.11970386431706706,0.11950577206008095,0.20123982587954722,0.1988822277854704
8,1.4893025042984052,0.35377917315835766,19.73601929414889,-114044.04771082083,-115042.76879359441,0.5617835306627849,0.5463993779556643,0.11232198228981186,0.11315598195694165,0.2031967380433476,0.2020565855513463
9,1.3541921862360287,0.36189865712756264,19.672715600013536,-113506.3866338382,-114630.69539767913,0.5699633502644962,0.5819745819784669,0.11968594563849332,0.11389601249679157,0.21188898649997823,0.21435074486266492
10,1.239601354334238,0.3277301346530397,19.764376111278715,-113874.64630162712,-115124.54274653537,0.5460340657950309,0.5805527545918554,0.11303412947226375,0.11717449740436142,0.20603582409443902,0.23642156689804567
11,1.131680883351546,0.33073521993752064,19.805528992133627,-113947.6383620376,-115323.12248801319,0.579833390700787,0.593474944347503,0.10477994447629484,0.11499080261932396,0.21476135321558587,0.24262766473499056
