k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,21.147662207624393,0.036011813044694696,62.13899590488687,-470569.6789944983,-474012.762688765,0.19845758354755783,0.19947697314445115,0.20171384631467107,0.21223069265505445,0.2021226233316681,0.21263417850944047
3,20.356157964828913,0.05107891466077413,63.6663210783694,-479970.9410284455,-485138.6909652124,0.29738353719817945,0.2927741575496702,0.3719951688741277,0.3157354109991905,0.37263860408020966,0.31643641162819186
4,19.712877551403082,0.05510214021872187,64.48504191261569,-483954.21428459237,-490846.63046385953,0.39378205093158136,0.3888539131486034,0.40330118801362913,0.4409363498618554,0.404218656955046,0.44179590265723506
5,18.964452630910152,0.06980870628925724,65.67566929209843,-490781.08498561726,-499398.1674073846,0.49080642537391744,0.46045206991242094,0.521831308577997,0.4253451794877489,0.5228124709507082,0.4265240767076922
6,18.26582542919331,0.06672342009647825,66.86349428519732,-497586.52864035114,-507928.2773046187,0.5742573436551652,0.5569755358743768,0.6261883717401039,0.518471086023336,0.6271476074829364,0.5197068633729633
7,17.67522482940002,0.08041893035283496,67.89959499080138,-503231.88839289953,-515298.3032996673,0.663882359639969,0.6279924219369216,0.6777099428893182,0.5812793307971099,0.6787030244596816,0.5825694075589596
8,17.15350404125115,0.08942338834214071,68.5592843770325,-505999.2071975225,-519790.2883467905,0.7082007957426835,0.6771229609585907,0.7059259481769715,0.6227513473497431,0.7069836618290913,0.6241079096336384
9,16.618975794077127,0.10171898362674718,69.11807939103603,-507995.0876320933,-523510.8350238615,0.8024687207886939,0.7445918806034577,0.7877640708819329,0.6923993493606946,0.7886366428000224,0.6936641942705528
10,16.155375565910266,0.11134922609148672,69.45354532565561,-508283.39392569446,-525523.8075599629,0.8931811717346201,0.8266957419592177,0.8515191598116876,0.7510845915798128,0.8522062423806464,0.752236681945832
11,15.74122369543003,0.11544058139046687,69.77446246277158,-508460.4601135829,-527425.5399903515,0.90819331520705,0.795510020026442,0.8599574759239408,0.7194589327963016,0.8751314599761222,0.7347700273968507
12,15.351405387220204,0.12147055441876609,70.26329968886823,-509921.44330181764,-530611.1894210865,0.9481352993049651,0.8449183905654793,0.8568841638040474,0.7111095359362655,0.9102172299063803,0.7620384220978941
13,15.038848776887079,0.12351428170415432,70.54970050014936,-509834.597662373,-532249.010024142,0.9368598110603897,0.830456149929672,0.8350972740463264,0.6871988650516871,0.9135380523374522,0.758676479972038
14,14.751358374193668,0.1279506804116158,70.85190927419069,-509868.6197061928,-534007.6983104621,0.9365924758235564,0.8477060313932213,0.8141979892546128,0.6817458253523668,0.9150396076542249,0.7744423213754938
15,14.45813269582279,0.13300860841540307,71.10867834401522,-509555.2097715709,-535418.9546183404,0.9192339393405586,0.8528747096249775,0.7797047436368275,0.6843255262231294,0.8990918989813932,0.7923125346757539
16,14.182124567822985,0.13453610463300752,71.3458784972575,-509092.17590076115,-536680.5869900308,0.9581274488899565,0.8805440292078046,0.7837871639393116,0.6728823008153835,0.9265519558661107,0.7983363623812896
17,13.965147385450248,0.13490013420445332,71.31103040355109,-506549.0611337818,-535862.1384655517,0.9279788520476916,0.8632008437082279,0.7487573455341996,0.6536023283784055,0.9008210274867731,0.7949954414565705
18,13.777218327433927,0.13544220169451968,71.77039444604344,-507784.69236017804,-538822.4359344481,0.9424661141345788,0.8516413791300145,0.7427591678358654,0.6312161238706171,0.9163110583651443,0.78499854107403
19,13.54171273356383,0.13591341473068047,71.90159425816806,-506511.1798811827,-539273.589697953,0.9435602499843425,0.8776490943617851,0.7346917110651735,0.6429101171114759,0.9178768719323599,0.811278489346055
20,13.353566952488944,0.1341021699792244,72.13392641773375,-506010.92533072166,-540498.0013899922,0.9439794128133984,0.8695559853907253,0.7173610557710078,0.6275381464842286,0.9147829256442651,0.8052685512229655
21,13.224711716987478,0.1363631533288115,72.03628026886105,-502987.6566339409,-539199.3989357116,0.9130138422290147,0.8995425677077862,0.6923481964136874,0.6348588250821027,0.8866631776831138,0.8300133410814404
22,13.04054634834962,0.12073348356712119,72.20239213326495,-501981.0817066729,-539917.4902509438,0.9188971998352559,0.8796697086605926,0.6826353469983273,0.6077376004409707,0.8942651410383385,0.8130892630166762
23,12.879755480275453,0.11932133061767371,72.3731420378381,-501009.9692345389,-540671.04402131,0.9217239792624524,0.8788666171802721,0.678898408215255,0.6005578982599784,0.8979671060587427,0.8136534097229731
24,12.710636143292302,0.12189278788683774,72.5941402969888,-500423.05568150507,-541808.7967107764,0.9187991878983157,0.8824100262571951,0.6629788650305661,0.5932181897698613,0.8949932631716797,0.8182700896081646
25,12.630644394927907,0.11951769212169558,72.7379539595911,-499245.98870326194,-542356.3959750335,0.9290871569424952,0.8874620727597101,0.6608700304679156,0.5900808866550842,0.9042613686022574,0.8224860082294498
26,12.462518011853456,0.12399233624107849,72.96874522504562,-498733.9524764271,-543569.0259906988,0.9397983718941951,0.8848801834818094,0.6547009089493071,0.5860243856341334,0.9137385874921979,0.8257091118469887
27,12.266630242531917,0.1253609575745561,73.06128029412693,-497164.8093721225,-543724.5491288945,0.9342927772556121,0.878963521079133,0.6492860832151013,0.579771159210602,0.9138357163779783,0.8293770653302512
28,12.130967189107224,0.12724803376425547,73.10840559371348,-495248.46317026106,-543532.8691695333,0.9248245478538671,0.9081801066187949,0.631268910821377,0.5944510457592271,0.8994384182867662,0.8575343047272757
29,12.084827382320206,0.12114940507976125,73.25910251932048,-494124.0256209519,-544133.0978627243,0.9269270170129733,0.9010198774711141,0.6266488018643803,0.5828427659935945,0.9025637256931673,0.8478680574636849
30,11.912482927009883,0.12649027332845686,73.48087147128483,-493543.0047851711,-545276.7432694437,0.9190072295885784,0.8874270943609771,0.6142741310217062,0.5666832615224745,0.8957660651873477,0.834866554110234
31,11.814242662862027,0.127205514851617,73.57603302472909,-491993.9437803058,-545452.3485070786,0.9221586604760508,0.8936516596541838,0.6127381234718291,0.565726767640848,0.8988497996833322,0.8402404693849846
32,11.72177761189604,0.12624280136956054,73.65564731761019,-490326.0084211744,-545509.0793904475,0.9147677761548495,0.9060122933915813,0.6056961729205832,0.5727834793833038,0.8943670177505996,0.858371558837774
33,11.638762258016035,0.12374816617549832,73.78283351232957,-489021.8078234987,-545929.5450352719,0.9159951401957857,0.9120388136289689,0.6013613153217771,0.5672263706321984,0.8952079362351784,0.8604831038537462
34,11.516627876710153,0.12596779564573823,74.00375217675891,-488434.2856892252,-547066.6891434987,0.9302321488010127,0.8953786105615209,0.6066131404153734,0.555711802240096,0.9125951458301308,0.8497890617582846
35,11.432127444679693,0.12568460085630478,74.12113383881547,-487055.11963480944,-547412.1893315831,0.93249886925247,0.8978344067373484,0.6040307935605549,0.5600842095049502,0.91607583307772,0.8620590437978898
36,11.326896088503098,0.1266493570639876,74.18677912449334,-485280.3772466022,-547362.113185876,0.9322045086511005,0.8993885476735949,0.6011432719514308,0.5509919803468486,0.916209729106594,0.8549085130453253
37,11.216214109703582,0.12976287723002844,74.30095799527697,-483876.7226501137,-547683.1248318878,0.9360943437946895,0.9077381344116963,0.5973503672602637,0.5539222051491199,0.9221960572458623,0.8666333058069378
38,11.207700650528778,0.12526402196835987,74.36703760197805,-482105.3010804499,-547636.3695047242,0.9320879658619126,0.9127863500294287,0.5888984018756569,0.5615678970756703,0.9162517724096355,0.8810132962919307
39,11.045801440128066,0.12691341286340554,74.52892164255711,-481066.4002122171,-548322.1348789916,0.9400482704522598,0.9075210914486728,0.5852393959254243,0.5500543971071145,0.9190625917985888,0.8736896680545367
