n,ev,evr,evr_cum,loss
1,6.89853260907986,0.6896172522658677,0.6896172522658677,0.14468372277889577
2,1.5243665168902016,0.15238450093579065,0.8420017532016584,0.11039446645812183
3,0.910887324952953,0.0910575697404216,0.9330593229420799,0.07827389845516577
4,0.3059803291735382,0.030587564893776148,0.9636468878358561,0.07120959007651084
5,0.16821366944917085,0.0168156121153088,0.9804624999511649,0.06777613662912053
6,0.11381379936306883,0.011377486203862008,0.9918399861550269,0.06727130269205928
7,0.06216811333315769,0.006214684473468574,0.9980546706284955,0.06352328608480175
8,0.013132153306701663,0.0013127660609709951,0.9993674366894665,0.0629956165768904
9,0.006327797935282826,0.0006325633105335745,1.0,0.03340229894704959
10,5.654833287379412e-32,5.652898688239004e-33,1.0,3.217596970889698e-31
