k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,194702.04507218802,0.12709161930288515,-32.81029952033925,260114.44454498758,253109.5501325139,0.19549071618037137,0.1994694960212202,0.15092530480574107,0.2183245372142695,0.151360350696044,0.21872487340196742
3,180275.8198257286,0.12370368009827204,-25.35062517888142,207705.3461318047,197194.88011772733,0.26747033365908135,0.28911453886087746,0.1854501810012973,0.2880795251438147,0.186286974467726,0.2888090307975463
4,170211.0225942388,0.12428010565122274,-18.481629014810615,159812.57306292304,145796.53544724197,0.2947653423547148,0.37565179648775576,0.26335362574433446,0.3682226058910752,0.2644897636584745,0.3691945465488554
5,160491.92088129808,0.12085901655099379,-18.37692381653568,163639.56871851656,146117.95950123182,0.380666070003005,0.4624824746958005,0.37776706328558224,0.4550414902361947,0.37904897734911513,0.45615939102391
6,152235.1000696358,0.1285821516671328,-13.841052034291444,133585.8646730808,112558.68385419238,0.4039361638422542,0.562710730421898,0.4448255846935402,0.5140053620408631,0.44625992157963607,0.515252548304594
7,145170.63808669103,0.1457063311251267,-13.597479412377327,136351.08000752918,111818.32758703704,0.4831575526736889,0.6157335633634665,0.44942892184302863,0.566845097429374,0.4511310399400628,0.5681795719618103
8,139246.32910519786,0.15575812692554203,-11.526404052315298,125143.20940609858,97104.88538400277,0.5300007633700896,0.6195905013271482,0.5395826600430605,0.578234451204647,0.5412518746892321,0.5797554426997943
9,133286.5240995542,0.16123849931736614,-11.97252659755776,133181.83398862614,101637.93836492664,0.6207664687424959,0.6211483059341201,0.6194114151638924,0.5805157454030848,0.6209795839978575,0.5822675785694783
10,129037.35223216875,0.1693436905015436,-9.715969292424479,120555.76843518074,85506.30120987757,0.6439454397787725,0.6516833270524087,0.6254758858890413,0.6122051736557257,0.6272254980294489,0.6140279448002949
11,125109.88488024197,0.17511140846611944,-7.962516663341467,111776.44123481572,73221.40240790886,0.6592417960866249,0.7124454892361556,0.6509914880981603,0.658555582640137,0.6527947528247021,0.6603352549801037
12,121911.03411928244,0.17032179607777512,-7.305976410823652,111384.1060656682,69323.49563715764,0.7566566485944907,0.6838336901340489,0.6943802883612892,0.6390567247051402,0.725330364796306,0.6411133988835789
13,117169.96669292428,0.1792111546577594,-6.810705890718749,112224.8392705498,66658.65724043555,0.768941108851643,0.7069200110037748,0.6903458163669651,0.6508924264407524,0.7328334286837163,0.6529892390136895
14,115012.13172389216,0.17521979360514675,-6.455638998549016,114137.56941462372,65065.81578290578,0.7749707429853923,0.7816240510275195,0.6804285379920141,0.6881586176204026,0.7356058744209455,0.7189865963656744
15,112411.61631334803,0.1721645614832579,-5.751173341971742,113378.79660603756,60801.47137271594,0.7550721535322591,0.7859730242982235,0.6615070712169003,0.6839092831189731,0.7309577606751859,0.7281370403326922
16,108168.79997846001,0.17907269426307212,-5.652248576401478,117249.989450091,61167.0926151657,0.7553339829029199,0.7819443660579535,0.6613882683890648,0.6630602807654138,0.7313221821606904,0.7304520597385212
17,103852.7780362053,0.1794865759805437,-4.844717271349493,115703.17669326722,56114.708256738224,0.7996634852641467,0.8485329200714173,0.6731677170714873,0.6941178817223222,0.7665113329960176,0.7647179330436182
18,100398.4637777635,0.18732127239040638,-4.498985252058231,117687.28127536993,54593.241237237235,0.8179395122799418,0.788913622772313,0.6661209197538994,0.6628432384433363,0.7753936270490541,0.7291639861067302
19,98283.96436573594,0.18423566404481131,-4.410859312084831,121641.041939937,55041.43030020062,0.8567398405509906,0.8452054330085729,0.6959249571244053,0.675918530816271,0.8243755406020721,0.7679573534175609
20,96411.02431137508,0.19100765044978835,-3.8910887698535688,122294.44797564046,52189.26473430039,0.8826817514047309,0.8563042815638646,0.6941800498346333,0.6687007111749347,0.8359105391278874,0.7835076756795291
21,91662.1678186415,0.18960932951541004,-3.4264316649632205,123369.25135325253,49758.49651030879,0.8552035979716364,0.8428915038228607,0.693990150433299,0.6665621334662528,0.8246478311547282,0.7682676908003453
22,92187.78849898322,0.1859436243662806,-2.7855443509989146,123096.59855228514,45980.27210773771,0.8444937470724699,0.8376660485845907,0.6819499589175456,0.6532685375844824,0.8133577998162413,0.782536100849572
23,89825.9222200487,0.17898421447192228,-2.4757249016684253,125355.29064430791,44733.39259815678,0.8815077650000668,0.8615747491181488,0.6874688168827936,0.6460492651970381,0.8371670893103019,0.7918584408298779
24,86248.33400248013,0.18413752779152684,-2.455150781286962,129825.55252147492,45698.08287372011,0.904580461611827,0.8655598854933577,0.6941492630398785,0.6426217378296171,0.8535954222336603,0.792108233894706
25,85384.05044216945,0.1856414467721704,-2.2902443653142748,133192.24966655145,45559.208417192945,0.9056269554388294,0.8429193079915136,0.6939274518344531,0.6305778694703997,0.8547370913143635,0.7897005278350245
26,82656.16223212692,0.18419112372568194,-1.6703678283271017,133080.2452663512,41941.63241538902,0.8997636714402906,0.8687799390749845,0.6783847983721616,0.648856110675288,0.8485476787401401,0.7991846902239274
27,82954.05523257478,0.18485389195574203,-1.2826369898222705,134743.22687674695,40099.04242418108,0.897312840523815,0.8650268843738698,0.6614991085793498,0.6246076562476406,0.8450791893787047,0.7992780812825976
28,80544.58694061691,0.1798780319931243,-1.2177749131296902,138874.8630399592,40725.10698578961,0.897312840523815,0.8866785503375818,0.6611462293247173,0.632950909476158,0.8451365987241245,0.8183286214440882
29,79415.17898167373,0.15896305702165434,-1.0970389611399378,142579.2875526492,40923.95989687597,0.9041842938336321,0.8700941251336617,0.6611832538374652,0.6201422041463,0.8525790062661648,0.8089994110344326
30,78644.83892392291,0.1615682221126946,-0.5535466628127914,143051.31704124354,37890.4177838666,0.9052908813465321,0.8730296898811809,0.662761445903241,0.6120837578013503,0.8627903505111352,0.8105102374960358
31,76516.80086993754,0.17620638341860914,0.010272547009285855,143367.92696454763,34701.456105567,0.9047327201770126,0.8773413052096476,0.6504013996789609,0.6063366332910709,0.8655036058100053,0.8097678955132822
32,75620.06326480089,0.1762007099333932,-0.054413137811359036,148490.08531228997,36318.04285170565,0.9022270029262311,0.8972324115223328,0.6427259437225504,0.6173468769925672,0.8624621406261288,0.8379825200436329
33,74324.58223622778,0.17950103656493063,0.15367305470417872,151526.62988591986,35849.01582373185,0.9047426648977763,0.8739263024744931,0.6312517096071026,0.6011499647440215,0.858703536551294,0.8219206477881664
34,73993.857357066,0.15594526253332605,0.7249241301957686,151786.41576431485,32603.230100523153,0.9082026401519724,0.891960542121342,0.6234478515849085,0.5968662190537244,0.8666881265528885,0.8294267521376486
35,73062.10286128402,0.17030983803904856,0.9195964236061253,154925.52301050295,32236.765745107565,0.904809397603118,0.8621561508862391,0.6131553501202675,0.5837268367664984,0.861609957516605,0.8100525329166626
36,72135.70341341627,0.16791764711726678,0.9383222748686469,159409.9167533534,33215.587886354326,0.904809397603118,0.8857835502832939,0.6129858911782291,0.5843062243995989,0.861638662189315,0.8204993700142941
