k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,335.8401371450892,0.5648715283324347,10.66133107172209,-61887.221328206215,-62216.141445287336,0.5562508777913766,0.5289804912956535,0.16591857462832374,0.12777669904296168,0.16617866606516138,0.128048672111935
3,181.31282724910938,0.5212516716984333,11.243930661163951,-65069.648286660224,-65566.01864516445,0.5837379179686291,0.5454130802618995,0.18505476022581788,0.17137249490508077,0.1855631446940444,0.17188945316987592
4,114.40630681188384,0.4976538323776447,11.630001563059372,-67103.16853771773,-67766.98913764508,0.5649030605590717,0.5480880604209074,0.17553313442849283,0.15971277119489058,0.17632031668198767,0.1911138905807633
5,81.57919956088335,0.47747106704791425,11.867779237013059,-68269.76657822788,-69101.03741957834,0.5524340736876601,0.5489824567972084,0.16551339746434535,0.1382058071707198,0.19285469544617678,0.1945989430647809
6,62.1074911717717,0.47241835030942614,11.957707860130036,-68572.0390675466,-69570.76015032019,0.5894721290016146,0.5563185934872606,0.1624931865362096,0.13452602972232874,0.21863964913689413,0.20477446198872948
7,50.98542583468753,0.4394888573702606,12.022096132184066,-68725.00266455136,-69891.17398874805,0.616799719002757,0.5463106624349809,0.14716578303009936,0.12159718232421454,0.22688231124572023,0.20613839731602995
8,43.11419762404668,0.4246199069788612,12.111736588708604,-69025.5905319707,-70359.2120975905,0.6006777044160978,0.553449099887101,0.14079947135563053,0.11419924663492372,0.2346033376449002,0.20805895435555524
9,38.56074096301211,0.41020182640904784,12.142142755238654,-68979.89474008224,-70480.96654712516,0.6062978962806548,0.5465881105948593,0.1454593995368816,0.1109014253248786,0.24550599943814347,0.2143045316338419
10,34.47063106770411,0.401528074099305,12.160826500947989,-68865.66967607591,-70534.19172454195,0.6083248488292121,0.5515578842374619,0.14605536059307783,0.10813611087685905,0.24838541241919934,0.21597337141642955
11,31.397992108901384,0.38188264963533836,12.194068687741,-68836.55325864474,-70672.52554853389,0.603217071179078,0.5618045138760841,0.13476364545278233,0.10335328022824868,0.24311817110906692,0.21877103675860227
12,29.154850703393652,0.3652148368061187,12.236067592498905,-68858.62861443633,-70862.0511457486,0.6116101564385833,0.5595997626664455,0.1354772869789663,0.1000089762514182,0.2542478885483295,0.21980067252980826
13,27.853572093707776,0.3451937771506518,12.278602437533914,-68883.83707708788,-71054.70984982327,0.6220943326921439,0.569688063766319,0.12904422833709775,0.09736276674302849,0.2525143624909719,0.21998360631263608
14,26.10153558914158,0.3421592993696183,12.28172058179064,-68678.61550698959,-71016.93852114808,0.6178918492844683,0.5624356447022049,0.1216711162122505,0.09484295077558014,0.2582821846502228,0.22303872251207743
15,25.042783446480165,0.3258826860808531,12.305545287819195,-68594.44449700939,-71100.21775259101,0.6304486929342437,0.5603922684359445,0.1321085308766563,0.09312432281570782,0.2725760497807006,0.22580411517770443
16,23.91683789062302,0.33241628860534383,12.310032424077232,-68397.22605415077,-71070.4495511555,0.6311926295670628,0.5655784148090568,0.1328591924212056,0.0937099572408828,0.2791346646697133,0.22760341639486475
17,23.006846659179395,0.3321162808044014,12.343145661964884,-68367.35580141887,-71208.02953984671,0.6367554431443322,0.5759078563857545,0.12407048192374442,0.0943818033500774,0.2758614481432664,0.23507575623973775
18,21.99938414013174,0.34738838001102024,12.369493034311075,-68297.93229873158,-71306.05627858255,0.6260124813898839,0.5678493267337433,0.1179734390829484,0.09556112306850513,0.26491669115713373,0.23254128577774316
19,21.230534520747227,0.3211130536180501,12.347780863418931,-67947.552706273,-71123.12692754707,0.6333026230034982,0.5863865349550952,0.11725887184831725,0.09429263969990932,0.27597032142551,0.23855210325462617
20,20.36836186333845,0.3310604305321852,12.348037159931405,-67725.60077426181,-71068.625236959,0.6328216601362527,0.5835769749242475,0.11805613162168827,0.09739597686103021,0.27811327659559304,0.2471349835575045
21,19.654118311082826,0.3118083397044643,12.387508781826694,-67732.90163443855,-71243.37633855885,0.6425875103563673,0.5871292770044017,0.11738905651545452,0.09219948682470056,0.2705412133059485,0.24385980974752128
22,18.960293060766155,0.3016440845268012,12.39025795494087,-67525.5230590409,-71203.44800458432,0.6364111055301287,0.595685659085597,0.12158979882364183,0.09302326139803636,0.27569607173960986,0.25089984636278817
23,18.15186925664443,0.3002740350002173,12.383380189778336,-67261.86540247762,-71107.24058944415,0.6108326602425808,0.5983978092811743,0.11003869009130607,0.09073778939899206,0.26553492895044467,0.24735797690529632
24,18.024510273819757,0.313147212248913,12.423659512970017,-67273.88808443307,-71286.71351282272,0.6308074782199041,0.6052678525630872,0.10967986691433415,0.09280035609510895,0.27410806550159195,0.24924116707078958
25,17.109924423516045,0.2943398203078118,12.421787034979147,-67039.49133667533,-71219.7670064881,0.6320134601105669,0.6179661778017811,0.11096406818279149,0.09386882958411018,0.2777708230223497,0.2661657215222198
26,16.707810268869885,0.28978334603454586,12.443166995399393,-66941.02834386898,-71288.75425510485,0.6360462158793834,0.6015774316393806,0.10848672922199032,0.08921877693141998,0.27913380135746846,0.2555230358848994
27,16.30016011977678,0.2851471321107156,12.429877873424916,-66639.88989538306,-71155.06604804206,0.630099410148751,0.6212379145379932,0.10571747140315066,0.09201032137871198,0.2771570902024557,0.2700050462905711
28,15.900214599186242,0.2917055047319456,12.469809275808021,-66649.87863229158,-71332.50502637369,0.6392404180788066,0.6128022258369809,0.11040494705500134,0.09162537798789114,0.28558191042934405,0.2656113165634859
