k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,2998493.7304105107,0.14264173311396353,-77.64794515469472,601359.3152443998,595554.1886527959,0.19920212765957446,0.19973474801061009,0.21959397411816287,0.19827595100759143,0.21999371445699795,0.19868654166645508
3,2679363.9232474472,0.14269776476124277,-69.15499703951116,540257.9216468751,531547.1073641023,0.2778224004542154,0.2930387752304826,0.23549048715410564,0.29013949404134254,0.2362737711665628,0.2908667099946672
4,2449195.5817118334,0.15341224861985062,-63.929278657767654,504137.7665912331,492521.26461729145,0.3553987690498161,0.3744803288154399,0.3203979699047993,0.37723662225153193,0.3214435584503214,0.37819418895074275
5,2234329.235442498,0.1682312708372344,-63.165635937402236,502134.642042488,487612.4523773775,0.3753269176516837,0.4734164990282059,0.3434068907107016,0.4595054027958641,0.34475453612611123,0.4606144207523851
6,2087895.0294380202,0.1786361437230715,-61.551806654545224,493630.9910369321,476203.1136806528,0.42266179560326483,0.5519031475360462,0.43035292454962054,0.5428988838004924,0.43181557432895434,0.544071839660187
7,1957857.2094517283,0.19388494187936936,-57.9787293492246,470146.92965161946,449813.3646041713,0.5059280845254054,0.6368873739763606,0.47498170319222593,0.6059127768248328,0.47660039406160554,0.607127080634202
8,1854307.5857599003,0.20508671002829193,-56.88871372815289,465648.3579040739,442409.10516545695,0.6038677294706243,0.7099719967423582,0.5574602143926911,0.6734625651480706,0.5590524722752346,0.6746369036684339
9,1774925.2247833726,0.20653561337600262,-52.52547864839108,436122.750175384,409977.8097455982,0.5854149725804186,0.8004228083310415,0.5619147209523674,0.7436472721972128,0.5637167447646124,0.744701140487645
10,1705661.6644485262,0.20736878566850298,-53.335586537862014,446152.52278944757,417101.89466849295,0.6659572771923556,0.8077734103708746,0.6139944271269521,0.7519998143087347,0.6157829396418997,0.7531471676889531
11,1656076.2688673446,0.21067271584021013,-53.06054827398738,447885.267915031,415928.9521029075,0.698701043405401,0.8671492386334716,0.6616522087054542,0.772189115477134,0.6649477146397724,0.8014336510701868
12,1602871.9361869907,0.20956951814950767,-54.353240983055535,461604.8840597349,426742.8805564426,0.7268994789540439,0.8695831912634479,0.6875827040448567,0.7534359093627582,0.7162698509861559,0.80362328184732
13,1560888.6193403848,0.21014021153633095,-53.110921637939285,455941.7980381449,418174.10684368375,0.7668401225834109,0.8735287927747605,0.6820512269157497,0.7452162406833006,0.7365327440747834,0.8200637239881496
14,1530739.5008975193,0.19893709483148508,-52.38901306949548,454257.7728149924,413584.3939293625,0.7633100445120635,0.8556529874359863,0.6629416499695887,0.7066163515011892,0.7311121154357896,0.8015498401979685
15,1482581.2098145345,0.2097998093015119,-50.19109119454124,441288.1498502611,397709.0832734623,0.809989802597501,0.8946213902546258,0.6630018835796746,0.7213080634429008,0.7524544316567359,0.8335940207437803
16,1452510.179473001,0.199953574998756,-51.89091994473346,458120.72816539963,411635.97389743204,0.8237507045711108,0.8967271480878135,0.6784818777036286,0.7026847517522791,0.7742013586009101,0.8333309073406667
17,1428854.837975286,0.18736640935191842,-51.148094615152694,456276.77338659397,406886.3314274575,0.7997167633358517,0.8895797460911685,0.6393393094874162,0.6808230841604453,0.7448611588981949,0.8302526632642215
18,1396327.5725366576,0.18859856702406594,-49.8203322349521,449960.389918749,397664.26026844373,0.8201885125264046,0.9094018196901624,0.6548301185868508,0.6778554755452639,0.7751708503070206,0.8429208188084256
19,1381065.8003164222,0.1904875565769423,-51.097984694497846,463565.00831560465,408363.1909741305,0.8358080915661509,0.9163997355178077,0.6612685651047776,0.6790402063821107,0.7933157700326241,0.855284772375951
20,1361401.2262646793,0.18403284310655862,-50.88739804852268,465790.55051164737,407683.0454790044,0.8306679938913912,0.9107110474253317,0.6501748171545748,0.6619819085953571,0.7893094509619455,0.8469450960576874
21,1337866.970685701,0.18097978803599146,-49.62350372605863,459962.5022132561,398949.3094894443,0.8172360775972668,0.917894589655601,0.6313452777852337,0.6526222063201004,0.7815107831097216,0.8536761263499171
22,1315292.0915240021,0.18006785052077212,-49.36520506477617,461823.2383402592,397904.3579252786,0.8600727137371385,0.9008263647503744,0.6353417835835465,0.6429988420039899,0.8120323421003893,0.852104157947502
23,1298236.7831945734,0.1593707816589825,-49.44228831772564,466248.3045834797,399423.73647733027,0.8495859458808289,0.9155275393303295,0.6168301085993142,0.6365266994019181,0.805711975497835,0.8647071252980756
24,1279038.0069620565,0.17981048915531192,-50.01264183856235,474444.915294966,404714.6594976477,0.831022682268938,0.9188442214463338,0.6042701280261503,0.6403196712922985,0.7922423485070131,0.8734742247154115
25,1258205.319726982,0.17848989144874972,-49.28342369475825,472705.00105860864,400069.05757012154,0.8312939834865476,0.930083696005584,0.6138406834704708,0.6362121611531127,0.799263222806494,0.8757933554994274
26,1248242.7960364642,0.17611085106632404,-49.244900499006484,476246.14039505954,400704.5092154036,0.8963808954036577,0.9143955445596497,0.6394815992107177,0.6261519603981655,0.8540441354662477,0.8725747116566042
27,1230441.4490602922,0.15151567965700946,-49.13468249199153,479239.10120459204,400791.7823337673,0.9088144730299785,0.9294177007352399,0.6437888630675348,0.6204078237387433,0.8675037195661193,0.8825240752793546
28,1220509.599745377,0.15093361256523682,-48.23168011545195,476170.43272473925,394817.4261627456,0.8844967578666705,0.9262333405491249,0.6271516455460007,0.6079888952938002,0.8465392284634131,0.8741486444270872
29,1200648.4632428759,0.15366534754715666,-48.96233743979439,485592.7263178303,401334.0320646679,0.8865609790795685,0.9277473427882073,0.6075516858306474,0.6072019259376932,0.8439958491548513,0.882648208362411
