k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,1264.8618268635664,0.6119766399497332,2.3098838906533206,-13272.150617571086,-13445.581224759311,0.4382111782133852,0.4454575550249794,0.04153267082296051,0.0459837182590778,0.04183157543902413,0.0462812297781463
3,545.8743357493764,0.6786826837641333,4.266522796392407,-24590.956174045117,-24854.092267710013,0.5166840552958408,0.5170134360600042,0.12601278111096792,0.1270162490123686,0.12655794999933756,0.1275607915140253
4,390.6363024762562,0.638729926236237,4.919350911319966,-28287.683847434957,-28640.525427576522,0.5192107568735245,0.5308908238926929,0.12307422835255409,0.11958862369890835,0.13600659059211695,0.14764560684825864
5,272.29737489441663,0.5745782179162835,4.7472643709674625,-27161.96044605755,-27604.507512675784,0.5668082667028017,0.5312202046568563,0.12548681082602833,0.11054776870592109,0.16377505792732036,0.15903151770311114
6,221.12394583078708,0.5206942457051948,4.851783123536496,-27653.27158709945,-28185.524140194353,0.5410722765059557,0.533717860665888,0.12078757302419955,0.1176100755090554,0.16227106817561962,0.19077008329946327
7,171.91540026464776,0.5158388868393162,5.012215572824001,-28471.45419915754,-29093.41223872911,0.5533518121102428,0.5427102650070131,0.12006755969098283,0.11417238021015413,0.17438033913009685,0.19777657163017204
8,139.61521102911811,0.5034734731203574,5.388832457631064,-30553.45102126296,-31265.1145473112,0.5533608408215447,0.5323866562334891,0.12639765368766068,0.1095826196022189,0.20653504354606306,0.2018489745689344
9,117.84501946829803,0.49548919394002683,5.425176059450001,-30646.210231019795,-31447.579243544704,0.5815431798822198,0.5360322492191837,0.12445390525041793,0.10523923835501311,0.21893484679362782,0.20346669972964262
10,102.68585419530974,0.4883070716646011,5.5681565589646835,-31362.368744705964,-32253.44324370754,0.5889383632319386,0.548767189814799,0.12433741422803804,0.10841583926148106,0.2297250698061543,0.22089204200581355
11,90.17617711873038,0.47295468907549676,5.583364118864245,-31331.56665340213,-32312.346638880375,0.5831834788262383,0.5470506209746996,0.12020361495401805,0.10523819532261022,0.23395376187134345,0.2236406992383557
12,79.76237120568614,0.46527760255147516,5.625724200924807,-31459.498206651515,-32529.983678606426,0.5819561981037785,0.5542501064111014,0.11740522109423172,0.10304932466833647,0.23748131331531735,0.2260171771035887
13,73.4375819429595,0.4606375208344407,5.661356936508028,-31548.101692394353,-32708.292650825933,0.5676142097312217,0.5504376487424394,0.11147805817575662,0.09934355880800101,0.23712538404019465,0.22506526340791105
14,67.56444642176004,0.44958125093212237,5.675385437723561,-31510.40682402369,-32760.303268931937,0.5771112013813718,0.5551272340499231,0.10921391453816623,0.09839820224585798,0.2404749559984817,0.22850065289637594
15,61.9089049730531,0.4430913204813667,5.697943564853537,-31522.576148748856,-32862.17808013377,0.5792202999635312,0.5618923316535351,0.10815951177061542,0.09807276836649409,0.24589608948374603,0.23337735141892949
16,57.25210747992759,0.44393574142506553,5.707023121805632,-31455.94975221414,-32885.257170075725,0.5820341804288248,0.5656542441392715,0.10623789093637295,0.09714418930376277,0.2493911426064509,0.23430140223159107
17,53.81433739785888,0.430280023717166,5.715960384473307,-31388.491503292702,-32907.50440763096,0.5933791841063941,0.5640221310534959,0.10456952275827575,0.09389220247070369,0.2544304890110372,0.23502284200030096
18,50.540680792121435,0.4216978116037671,5.720897862576469,-31297.650513807115,-32906.36890462204,0.6011700591610623,0.5670264934211454,0.10406775226057359,0.0923425105317739,0.26005382448698955,0.23580574963612821
19,47.832612350186665,0.4132283965935098,5.734093170378242,-31255.08479673961,-32953.5086740312,0.5907908105298246,0.5634842651323071,0.10326007980850836,0.0910741030645942,0.2585241841224149,0.23781794245279758
20,45.59662834035175,0.4166057816516047,5.742283555375294,-31183.260300955706,-32971.38966472397,0.6018257020608472,0.5689065454206291,0.10347732666196176,0.09098837775204051,0.25908711924063144,0.23878748383022072
21,43.66444458642301,0.4104526660690932,5.753710070319696,-31130.354220844012,-33008.18907108894,0.5988404783077717,0.568733208030623,0.09883884169972579,0.09147147458994573,0.2596744018087741,0.2435776561577413
22,41.54034623056241,0.4048198558664508,5.758331365550648,-31037.664826287488,-33005.20516300909,0.5944176173536381,0.575028892092838,0.09705340229786595,0.0902941167973357,0.2604569005875283,0.2454672326909961
23,40.155847254242616,0.3940161951286668,5.7587386258695235,-30920.340183634966,-32977.58600683323,0.5864516318119121,0.5695151835536791,0.09369287632380321,0.0879149579122319,0.2574138103719882,0.24662438628027408
24,38.78974477663931,0.3899188819739641,5.766675847166837,-30847.035692862395,-32993.98700253733,0.5942159118552792,0.5818469153795318,0.09242240078659554,0.09011326776230585,0.2595599153742654,0.2547349561564745
25,37.45369765095937,0.3820545852779104,5.779532564679916,-30802.490576967182,-33039.14737311879,0.5903479999443587,0.5871474745413957,0.09106242741160396,0.08844010452809618,0.2591281699631839,0.2538253282033433
26,35.653469168648535,0.39158770138961074,5.787633954652028,-30730.145816267483,-33056.508098895756,0.5885552579882212,0.5817147867872823,0.09071527283005541,0.08849114268119374,0.2593952935184815,0.25358681389387666
27,34.88912709160111,0.3871594008514174,5.805051784121884,-30712.264960871587,-33128.33272997653,0.6031529572897104,0.5844150099259489,0.09340648923435921,0.08819868722278439,0.2644820242958149,0.2548697680789195
28,33.32678204301919,0.382968558544056,5.803021726080816,-30580.69175508684,-33086.46501066845,0.6043417780565236,0.5952842588026034,0.09603580891795371,0.08787348089604731,0.26617677033432663,0.2578444672380805
29,32.12989313763973,0.37862041741038777,5.815674800490634,-30534.956141609968,-33130.43488366825,0.6096205653199637,0.6024549016195476,0.09727311656553683,0.08852161310312932,0.2714782485240014,0.26465144037286414
30,31.403131214634065,0.3693808091295309,5.814393573206553,-30407.760600430563,-33092.94482896551,0.6063109399192528,0.5965799218476598,0.09497415114823587,0.08694890785390685,0.26986848837565136,0.262793164960126
31,30.324009873097943,0.36969617946041017,5.8165885242810615,-30300.88679793547,-33075.776512947086,0.6081629480957508,0.5964137685702304,0.09421494771200928,0.08627022173820192,0.27226941311473757,0.26231642713146736
32,29.129842325178515,0.37238410951181555,5.822612708408926,-30216.398691870294,-33080.99389335858,0.6116039639603255,0.6006766073348669,0.09381185896622055,0.08818305928058941,0.2739670389713673,0.270747149775749
33,28.94059695336759,0.3586392088429599,5.828268069687402,-30129.7544474276,-33084.055135392555,0.6224142362345086,0.603799748426779,0.09605131878511457,0.08618400970128184,0.27809374491991146,0.26563019163881824
34,27.643869139555537,0.3695738190504525,5.835901084519994,-30054.671565662262,-33098.677740103885,0.6232309384591742,0.60865099829553,0.09456027323674696,0.08768613557716894,0.2770125480265725,0.27443586482271104
35,26.56441913544102,0.37111100460787555,5.831064333786431,-29906.690434397184,-33040.402095315476,0.6268309754898186,0.6222125220692803,0.09544927844305172,0.0906111797162691,0.2811443400106121,0.2833828222364637
36,26.07142403978539,0.37048991458901886,5.83644158493764,-29818.420358150484,-33041.837505545445,0.6261126227335251,0.6217802243965183,0.09634825497084272,0.08879960852717317,0.28330007479277236,0.2819308418391121
37,25.607408762562685,0.372509312192519,5.835505470458829,-29693.242346430685,-33006.364980302315,0.6278348300944735,0.6072525151219178,0.0971203408970083,0.08635653837682969,0.28169594846933166,0.2712232161282129
38,24.821663490889776,0.36876153327185035,5.8420736173343855,-29611.93424658852,-33014.76236693682,0.6187766088241241,0.6160300034888483,0.09388066368574485,0.08616781417524379,0.2776131439228953,0.2766121321003887
39,24.186809927769133,0.36577848573249183,5.857392351610764,-29581.782080691562,-33074.31568751653,0.617865684727686,0.6153017878350635,0.09302124195047502,0.08727363055882928,0.2761765728442054,0.27979800150546236
40,23.576021223709944,0.35578407349475866,5.855914492472683,-29453.43702969367,-33035.676122995304,0.6223503852401826,0.6170272012154879,0.0930419244258333,0.08681798516123419,0.28045536158941786,0.2839286255362903
41,22.722881742711525,0.35927952047770584,5.8597871824300265,-29356.371288707633,-33028.31586848594,0.6232288042425597,0.6066215951896216,0.09361070261249879,0.08380793600689475,0.2832980241994811,0.275674568852117
42,22.245793193177253,0.363464524249804,5.862345812008554,-29251.623550747034,-33013.27361700201,0.6234970041304422,0.6203885483266594,0.09268457942763529,0.0858938021340957,0.2819857452968946,0.2837064451221222
43,21.767709598549303,0.34937651894748206,5.861997758585948,-29129.88334396181,-32981.23889669345,0.6292389250660874,0.6223225790338691,0.09306016896358821,0.08480080939405626,0.2847636438878444,0.28596433454697046
44,21.44496484527868,0.3533714001872757,5.855871682268884,-28974.364815335583,-32915.42585454389,0.621862852885856,0.6269395309192664,0.09091029923530787,0.08650965415653217,0.2825355487435638,0.29149080531669463
45,20.72872164469205,0.3593245477766425,5.861166895307608,-28885.6151442833,-32916.38166996828,0.6309323425310341,0.6188530715580514,0.09195608135617575,0.08462531252994465,0.2867643388400762,0.2849115729182764
46,20.647794389179726,0.3408432011237079,5.875345428180105,-28848.797360979246,-32969.269373140894,0.6332488458004878,0.6196708455855784,0.09262263558198043,0.08346515263040265,0.29060795146433027,0.2867108529626862
47,20.135584406051002,0.3569518639735334,5.882407700275291,-28770.377917171034,-32980.55541580935,0.6270203408104872,0.6246236863318947,0.09110272439605892,0.08539627484408241,0.28784951981774864,0.29322691675046053
48,19.729780596023975,0.3596766375808891,5.898576578881422,-28745.19569502581,-33045.078680140796,0.6281233184016172,0.6257192068040588,0.09050040739284117,0.08440021306967158,0.2931102371253807,0.2914711348429272
49,19.07747159563745,0.34586552311539825,5.892324756896736,-28588.94205722666,-32978.530528818315,0.632621728457185,0.6222521766084398,0.09011160978243568,0.0829307210700775,0.29395316965846,0.2897506532207966
50,18.822686394322524,0.34350719463662704,5.902595769063,-28529.280907873974,-33008.5748659423,0.6389174746319646,0.630431434308112,0.08971381004767187,0.08527147135462555,0.2960976667339512,0.299527224606169
