k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,4055701.0171911875,0.17358036120525616,-80.28787152917617,622055.6173291742,615863.065712081,0.1997340425531915,0.19603303471444566,0.16920762805322043,0.12268233215176018,0.16963296034182695,0.12313148289571156
3,3573040.262010045,0.17918177007437147,-78.35914943898194,611400.0084314626,602108.056610456,0.2957682653680709,0.28670374248988034,0.3120007276415338,0.25812984372252396,0.3127057778606783,0.25889003068738464
4,3341424.7702954095,0.16260916401565154,-76.80137140935321,603580.6378208345,591189.2857959146,0.3952516031872422,0.3757360246549215,0.39912262904099116,0.33500584804721273,0.4000467254064677,0.33602854014890626
5,3143562.1002735817,0.16474368934147002,-75.36695162390653,596704.4643452227,581213.7121163893,0.481305785736343,0.4289558894804438,0.466087370267406,0.37884922491899026,0.46718306148645117,0.3801237439933942
6,2978874.353871976,0.13835736589391845,-74.39227401487965,593343.4795505166,574753.3271177697,0.5745437518644924,0.5247314671902236,0.5730058363290647,0.45839044901434167,0.5741016697045429,0.4597800332298942
7,2833965.371394771,0.1528988288084256,-73.27236772255995,588872.0762433537,567182.5236066934,0.6592060496358471,0.5736107963440625,0.6537620031733371,0.5074679152765572,0.6548287952050731,0.5089857895480157
8,2704723.906287998,0.15514520653127248,-72.4383577741115,586586.6363814301,561797.6835408565,0.7021784258645584,0.591504400444587,0.6839958090877856,0.5255308971855749,0.6851320755585851,0.5272375568867531
9,2599098.1443947535,0.16268027947303462,-71.64383272643907,584603.0980708402,556714.7450263532,0.7327486082340089,0.6238943191924271,0.7231766511599966,0.5605231317572212,0.7243151643797522,0.562330336410362
10,2520758.37300993,0.1619105639172606,-71.40890684173955,586898.2549603411,555910.5017119406,0.8037720510191121,0.6939824669841244,0.7756278538387139,0.6093334829786631,0.7766659758019582,0.6111413806053492
11,2450052.9129300434,0.1639816574774926,-70.68195306793388,585431.3666097363,551344.2131574224,0.8107881085044647,0.7095158111755014,0.7739169434664434,0.6127074822397601,0.7937400360144704,0.6285561696936587
12,2385896.126807738,0.16125464065944192,-70.23361773176508,586094.7948333031,548908.2411770758,0.8861147876045633,0.723176970649838,0.7901118078753372,0.6021570581154608,0.8470978531583815,0.6376613265163557
13,2325178.6175589142,0.16087849273565477,-70.34146315264728,591010.7811252818,550724.8272651411,0.8119927123085184,0.7653243867478204,0.7187862156368705,0.612776774237595,0.7766429627264813,0.6713512601179313
14,2271629.178133526,0.1563002914825201,-69.68899606962259,590113.4180123885,546728.0639483343,0.8736852204379527,0.7666209653844646,0.7389932996133941,0.5921156658205317,0.8304487090497247,0.6735131668540907
15,2224505.971770984,0.15811820557727368,-69.74655466687518,594644.9112508954,548160.1569829277,0.8170021763935216,0.7847211401575345,0.6936883735425511,0.6012086807085987,0.7944982911654238,0.69845221034693
