k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,1715.3292477681434,0.46852978965693565,25.015262533170482,-145193.79685368505,-145977.22476891463,0.5166840552958408,0.5173428168241675,0.12420001165636364,0.12527931489119612,0.12447313622692138,0.12555210337470588
3,720.5610686624542,0.6476776990258698,29.47801568060599,-170756.34761309568,-171934.4796688226,0.5166840552958408,0.5166840552958408,0.12601278111096792,0.12621858570406072,0.12655794999933756,0.1267636262186263
4,512.0906004898538,0.6071110925012527,29.827469710215723,-172272.55172969686,-173845.38792592112,0.5320881194133992,0.5319095566233235,0.11728213845940831,0.12188144641758776,0.14096703845997496,0.1505325101443447
5,356.57070984917095,0.5810172109490342,30.236396323418017,-174136.43256998013,-176103.97290670173,0.5744807754317477,0.5325377277135098,0.12268195422265954,0.11265686930093692,0.17535572048799178,0.16214068021673325
6,282.07568192072085,0.5228828023815854,30.82881251054148,-177072.99345940654,-179435.2379366255,0.5694646549822533,0.5315495854210197,0.12977151164466136,0.12063400639690332,0.2095339906619093,0.19655727594364916
7,216.44744928432766,0.5200441661345798,31.048734695831698,-177831.9544141158,-180588.9030318321,0.5652673976968863,0.5423147596397582,0.1313945685783233,0.11679380177378168,0.21721688074332965,0.20309477178767013
8,173.47869679004174,0.5122347694024711,31.2574597965292,-178525.45721229608,-181677.10997050971,0.5544899381906312,0.5423147596397582,0.12502663617744236,0.11248525191071813,0.2126299826348697,0.2071072676013165
9,145.54926359336105,0.5041824096845481,31.35132790637707,-178547.50604196938,-182093.86294068035,0.5645223986503141,0.5373588009871392,0.12410722579266906,0.10877969376832154,0.2187047185169007,0.21029663977028412
10,123.50253009291524,0.49813368603405883,31.616429526533743,-179570.58597290795,-183511.64701211627,0.5692410194151021,0.5507740648379197,0.1150018158892713,0.1109083145000759,0.22281795394607024,0.2257917576447017
11,107.28651675140642,0.48234951619575034,31.74235479926553,-179780.04097680064,-184115.8061565063,0.5814591278595668,0.5511305317359888,0.11656737692935958,0.10778146530151111,0.2341151461483941,0.22950987065102266
12,94.20103053174294,0.47354283588264456,31.806173823203306,-179626.4228502435,-184356.89217044652,0.5931676164327832,0.5514774340213253,0.11503137710702765,0.10519870093742915,0.24184609591136574,0.23156319601658806
13,85.78863011283161,0.4666651750712697,31.88806701295785,-179578.46629705126,-184703.6397577516,0.581109301228013,0.562912672088458,0.10758733191858837,0.10428112659521568,0.23513428316409038,0.23541988939763828
14,76.85354472853162,0.46437701035521495,31.894543640968767,-179089.62452390572,-184609.5021251034,0.5860746396001488,0.5591053358174315,0.10504641109131437,0.10127034633567936,0.2318397650214409,0.23599462049101272
15,68.92200396373752,0.4529618106292454,31.8968929141837,-178576.65423462287,-184491.2359763179,0.5844952051916743,0.5647046585824709,0.10330238168011589,0.09859781384102295,0.23219908404638223,0.23587256853972408
16,62.92495342040347,0.4540733673753297,31.89132663869469,-178017.4096476168,-184326.69552980916,0.5861762037548663,0.5618892758597971,0.1043966564478767,0.09673811355799489,0.23604135025031198,0.23529975029302405
17,57.60974183033427,0.4508662957644789,31.93305601243607,-177734.65542601154,-184438.64544870125,0.5859245857550552,0.5653901205690106,0.10256110091654039,0.09591285313449519,0.23904783857795242,0.2393872734745343
18,53.80594218974879,0.4386296606276444,32.02452281482217,-177742.66621226334,-184841.3603754504,0.584745786778341,0.5705231924777813,0.10209853616697642,0.09481839096641195,0.2430965084929258,0.2421580241996506
19,50.379730991039594,0.43524373610170924,32.067853164275554,-177469.2712946705,-184962.6695983549,0.5976573668412419,0.570066031000901,0.10329909456149879,0.09311038518708036,0.25377250049523314,0.24197195062190296
