k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,27822.94064311914,0.5157297775307349,-2.007326069896167,4895.3793648837445,4357.106356125896,0.33333333333333337,0.379050279329609,0.0035583370859854037,0.01487194475313078,0.004467434188405302,0.015769567118823356
3,16462.163120756923,0.4444082626538159,-0.8084015309636352,2804.802612225797,1994.9239568470157,0.33333333333333337,0.3762019637717962,0.012271431882505358,0.025088772202882526,0.014096215737600566,0.027009094745300777
4,12848.259483416807,0.3582527916347073,0.5590895783778103,366.6415913846695,-714.8427106150448,0.3784302249967486,0.36866006433045545,0.015136148406432254,0.020299312483158114,0.017937640538624847,0.02886334133300177
5,11083.95996356114,0.30318713644569434,1.2898518291994576,-758.5845231886346,-2111.674471809282,0.3749837430094941,0.38353648213983416,0.01728379686188908,0.01663645086598271,0.021019835828368083,0.02851297621134504
6,9997.346024804177,0.28485918177889075,3.8238806155739837,-5602.1462340719745,-7226.841829313555,0.4189036285602809,0.4138126293747652,0.02990801152977936,0.016154295397174615,0.0346162354579355,0.030724236457673557
7,9123.653854443044,0.24792546396520448,3.9983111595835648,-5580.216369198797,-7476.51761106131,0.41966120431785664,0.3831301845268326,0.02827396133643242,0.016335289490074602,0.03472629264430384,0.03451401483034039
8,8330.31366464321,0.2612541386581956,1.7358298019992562,-533.3741632390206,-2701.281051722466,0.3846385244537833,0.3814880650076181,0.020414614246245535,0.015784608232636138,0.027506272279107725,0.035975672800462315
9,7779.981747220124,0.23583509417127127,1.7801042262035291,-243.06237932729846,-2682.574914431677,0.381692757774111,0.3978665197543324,0.017844102328321766,0.014293683151682125,0.02585699980905097,0.035983296932082014
10,7407.997098389369,0.23940344069985817,6.538736019792224,-9673.755491086255,-12384.873672811565,0.4469630306953778,0.41488023229877113,0.029464257006732518,0.01844537164182698,0.0482890236484227,0.04690357637733643
11,7052.438404492946,0.22308496783549303,8.812686139168402,-13981.034990619002,-16963.758818965245,0.41062041035187036,0.41918867990330816,0.016349531537487385,0.019267449684917348,0.03503831389334115,0.05190648529277213
12,6738.057222620965,0.21722819073565836,6.54506905531503,-8923.602917092414,-12177.93239205959,0.3825393201199421,0.4046924032082399,0.015261498234656076,0.016694113278981616,0.030726246973312107,0.04820198397104267
13,6515.578309251276,0.20985489592314402,8.833318067126813,-13260.366732827377,-16786.301854415487,0.40851675578040453,0.4521320089426163,0.016100124876712193,0.021224747601655828,0.03754211403644842,0.06125752581943686
14,6310.001279800068,0.1980674571486756,6.871674475433577,-8833.852000134992,-12631.392768344034,0.3846385244537833,0.42617366389335126,0.019275593221735807,0.017635672050690738,0.03713844046451667,0.05408195688472946
