k,sse,silhouette_score,log-likelihood,bic,aic,gmm_acc,km_acc,gmm_adjmi,km_adjmi,gmm_homo,km_homo
2,4082184.0032775262,0.12207634418140403,-46.40053664120287,390157.5666154611,363356.50315863715,0.12455444623795195,0.19973474801061009,0.025950032992520446,0.20534675360020316,0.02645202404542928,0.20575373733018712
3,3715607.2820920707,0.12046766732779028,-43.47630454507075,385492.54413221363,345287.8245516109,0.23179224540496735,0.29279387397462037,0.18169212710487875,0.29772685038103436,0.18253389380509075,0.29844629785266474
4,3433545.6371152336,0.13561136618800332,-34.62616463236427,335518.03048343875,281909.65477905725,0.3212305069682836,0.3797241642774619,0.29903401632890375,0.3826070835379418,0.3001142964708889,0.3835564067610388
5,3182334.084911067,0.14817821111495552,-24.622437394371,276723.188145521,209711.15631736067,0.4380326452640436,0.4662463852671173,0.46377675801389967,0.46168488143041553,0.464877318256914,0.4627891244350782
6,2959937.554683404,0.16032674534541722,-24.691296142117963,294943.33825457306,214527.65030263393,0.5255618215199496,0.5654560947182864,0.4578503316203211,0.5283890471665599,0.45924207449549936,0.5295993417916197
7,2802418.4752557925,0.17078352806103847,-15.952566310198083,245820.6660834925,152001.32200777455,0.5632689211376882,0.6367717505071663,0.5235446642431204,0.6035330404129909,0.5250127142839224,0.6047544497761996
8,2676625.4427440832,0.18071263620352843,-9.209930351188419,211960.1276646834,104737.12746518666,0.5903634178393168,0.6714586496798519,0.535942866181255,0.6396116858028511,0.5376125514110178,0.6409078113872663
9,2564695.434397978,0.1888463567508889,-7.785967385068614,218766.16294951018,98139.50662623462,0.6421427662272047,0.7384960051875403,0.5786212562552694,0.6996229964641586,0.5803559620259855,0.7008581073388858
10,2478828.7387649734,0.19154487576037302,-6.0152326442580994,222920.7812450518,88890.46879799743,0.7313276601549733,0.8080082399205527,0.6834092896796415,0.7582419364563674,0.6848751713105283,0.7593607167575264
11,2402566.096372116,0.18819582962154888,-6.238692126240936,242323.00856807138,94889.0399972382,0.7399231719653693,0.8712503248774535,0.6902723354037971,0.7788760956188474,0.6918712506129785,0.8087939163892829
12,2331669.3837292287,0.18934663569481255,-1.972165358399896,227394.8010249376,66557.1763303256,0.7293623800965982,0.8748884584860088,0.7065038053028271,0.7590960127746365,0.7081777478514109,0.813081253697118
13,2279890.5298310732,0.1906070424911955,-2.401595488336669,248371.87992221297,74130.59910382217,0.8359021227883479,0.9036325240201912,0.7255184099981277,0.7653092410403088,0.7698830097541736,0.8382342141855894
14,2234881.9767605173,0.18094695304670103,0.6542245645316309,242700.73592176073,55055.79897959115,0.8629428811742109,0.8857895664537074,0.7345535797822994,0.7400129861720423,0.8062316614233931,0.8367960200911267
15,2183171.708010843,0.1815477824060436,3.70513058349546,237067.1646245421,36018.571558593714,0.8187636287994006,0.905683567475948,0.7129744659948307,0.7301867046306405,0.7809333044394055,0.8438710945801496
16,2139706.4251656067,0.18005252861271623,3.4980059817060325,256344.49545360293,41892.24626387568,0.8203072414646556,0.9164005813152104,0.6974442140414207,0.7187266927037798,0.7816813128666017,0.8506848218254246
17,2108691.060793546,0.17438295817907173,4.212759593841591,268573.1454589932,40717.240145487194,0.8605727792940078,0.920887970113695,0.6987189727796945,0.7106904852595293,0.8084361083821471,0.8612487781891448
18,2062503.1931750877,0.17162962561548553,4.595761738697647,283338.3671832026,42078.805745917794,0.8710582505020021,0.9191466965777423,0.6903445571557587,0.6918147703885366,0.8179905924924776,0.8581684837500267
